Date,High,Low,Precip
Fri 1/1,6,2,1 MM
Sat 1/2,2,-4,0 MM
Sun 1/3,-2,-3,0 MM
Mon 1/4,-1,-4,0 MM
Tue 1/5,-1,-6,0 MM
Wed 1/6,-3,-6,3 MM
Thu 1/7,0,-5,0 MM
Fri 1/8,2,-1,2 MM
Sat 1/9,4,-1,0 MM
Sun 1/10,3,0,8 MM
Mon 1/11,4,0,0 MM
Tue 1/12,4,1,3 MM
Wed 1/13,2,-3,3 MM
Thu 1/14,0,-4,2 MM
Fri 1/15,-1,-7,0 MM
Sat 1/16,-1,-8,0 MM
Sun 1/17,-1,-8,0 MM
Mon 1/18,0,-9,0 MM
Tue 1/19,1,-1,0 MM
Wed 1/20,-1,-8,0 MM
Thu 1/21,0,-11,0 MM
Fri 1/22,0,-9,0 MM
Sat 1/23,1,-2,1 MM
Sun 1/24,3,0,1 MM
Mon 1/25,6,2,1 MM
Tue 1/26,8,4,1 MM
Wed 1/27,9,4,2 MM
Thu 1/28,9,4,0 MM
Fri 1/29,9,3,1 MM
Sat 1/30,8,2,2 MM
Sun 1/31,6,1,0 MM
Mon 2/1,9,0,4 MM
Tue 2/2,9,5,0 MM
Wed 2/3,7,3,1 MM
Thu 2/4,6,-2,0 MM
Fri 2/5,6,-2,1 MM
Sat 2/6,6,3,0 MM
Sun 2/7,8,4,0 MM
Mon 2/8,7,4,3 MM
Tue 2/9,7,4,6 MM
Wed 2/10,5,1,10 MM
Thu 2/11,6,-1,1 MM
Fri 2/12,3,-2,0 MM
Sat 2/13,1,-2,4 MM
Sun 2/14,2,-1,0 MM
Mon 2/15,3,-3,0 MM
Tue 2/16,3,-6,0 MM
Wed 2/17,3,-3,0 MM
Thu 2/18,3,-2,1 MM
Fri 2/19,4,-2,0 MM
Sat 2/20,6,1,8 MM
Sun 2/21,7,3,4 MM
Mon 2/22,8,3,1 MM
Tue 2/23,7,3,2 MM
Wed 2/24,6,1,2 MM
Thu 2/25,7,0,1 MM
Fri 2/26,6,-2,0 MM
Sat 2/27,3,-5,0 MM
Sun 2/28,2,-1,0 MM
Mon 2/29,2,-1,0 MM
Tue 3/1,3,-2,0 MM
Wed 3/2,5,0,17 MM
Thu 3/3,5,-2,2 MM
Fri 3/4,4,1,0 MM
Sat 3/5,5,1,3 MM
Sun 3/6,4,0,10 MM
Mon 3/7,6,0,1 MM
Tue 3/8,5,-1,1 MM
Wed 3/9,6,-1,0 MM
Thu 3/10,6,1,0 MM
